Alloy,State,Density,Structure,T,E,Yield_Strength,Yield,Peak_Stress,Peak_strain,Fracture_Strength,Fracture_Strain,Compression_Yield_Strength,Compression_Strain,Strain,Vickers_hardness ,Wear_Resistance,fafabrication,题录
Ti0.5CrFeCoNiAl0Cu1,,,,25,92.73,700,,,,,,1650,,2870.00%,,,,Atomic packing efficiency and phase transition in a high entropy alloy
Ti0.5CrFeCoNiAl0.25Cu0.75,,,,25,102.85,750,,,,,,1970,,3850.00%,,,,Atomic packing efficiency and phase transition in a high entropy alloy
Ti0.5CrFeCoNiAl0.5Cu0.5,,,,25,160.54,1580,,,,,,2389,,1740.00%,,,,Atomic packing efficiency and phase transition in a high entropy alloy
Ti0.5CrFeCoNiAl0.75Cu0.25,,,,25,164.14,1900,,,,,,2697,,1200%,,,,Atomic packing efficiency and phase transition in a high entropy alloy
Ti0.5CrFeCoNiAl1Cu0,,,,25,72.68,2040,,,,,,3135,,2420.00%,,,,Atomic packing efficiency and phase transition in a high entropy alloy
CoCrFeNiTi,,,FCC,25,134.6,,,,,,,2020,,900%,,,,Microstructure and mechanical properties of CoCrFeNiTiAlx high-entropy alloys
CoCrFeNiTiAl0.5,,,BCC1 + BCC2 + Laves Phase,25,106.8,,,,,,,1060,,990.00%,,,,Microstructure and mechanical properties of CoCrFeNiTiAlx high-entropy alloys
CoCrFeNiTiAl1.0,,,BCC1 + BCC2 + Laves Phase,25,147.6,,,,,,,2280,,640.00%,,,,Microstructure and mechanical properties of CoCrFeNiTiAlx high-entropy alloys
CoCrFeNiTiAl1.5,,,BCC1 + BCC2,25,133.4,,,,,,,2110,,980.00%,,,,Microstructure and mechanical properties of CoCrFeNiTiAlx high-entropy alloys
CoCrFeNiTiAl2.0,,,BCC1 + BCC2,25,93.5,,,,,,,1030,,520.00%,,,,Microstructure and mechanical properties of CoCrFeNiTiAlx high-entropy alloys
 CoCrCuFeNiAl0.5,,,,25,24.5,359,,,,,,707,,1900%,,,,Tensile and compressive mechanical behavior of a CoCrCuFeNiAl 0.5 high entropy alloy
Al0.3CoCrFeNiC0.1,,,,,,,,,,,,,,,,,,Age hardening of the Al0.3CoCrFeNiC0.1high entropy alloy
Al0.3CoCrFeNiB,,,,,,,,,,,,,,,,,,Age hardening of the Al0.3CoCrFeNiC0.1high entropy alloy
W-Nb-Mo-Ta,,13.75,BCC,,,,,,,,,,,,454.2835729,,,Refractory high-entropy alloys
W-Nb-Mo-Ta-V,,12.36,BCC,,,,,,,,,,,,535.3510118,,,Refractory high-entropy alloys
CoCrFeNiCuAl ,as-cast,,FCC + BCC,,,,,,,,,1820,,2070.00%,515.5,,,Annealing on the structure and properties evolution of the CoCrFeNiCuAlhigh-entropy alloy
CoCrFeNiCuAl ,annealed,,,,,,,,,,,1630,,3400%,369.8,,,Annealing on the structure and properties evolution of the CoCrFeNiCuAlhigh-entropy alloy
AlCoCrFe0.6Mo0.5,,,BCC + σ,,,,,,,,,,,,754.875,1416.98,,Effect of iron content on wear behavior of AlCoCrFexMo0.5Ni high-entropy alloys
AlCoCrFe1.0Mo0.5,,,BCC + σ,,,,,,,,,,,,728.408,1439.11,,Effect of iron content on wear behavior of AlCoCrFexMo0.5Ni high-entropy alloys
AlCoCrFe1.5Mo0.5,,,BCC + σ,,,,,,,,,,,,633.712,864.716,,Effect of iron content on wear behavior of AlCoCrFexMo0.5Ni high-entropy alloys
AlCoCrFe2.0Mo0.5,,,BCC + σ,,,,,,,,,,,,633.236,430.468,,Effect of iron content on wear behavior of AlCoCrFexMo0.5Ni high-entropy alloys
CoCrFeNiTiAl,,,,,,,,,,,,,,,432,,MA,
Cu0.5CoCrFeNi,as-cast,,,,,,,,,,,,,,172.571,,,Effect of aging treatment on microstructure and properties of high-entropyCu0.5CoCrFeNi alloy
 Cu0NiCoZnAlTi ,,,BCC,,,,,,,,,,,,,,MA,Formation and Stability of Equiatomic and Nonequiatomic Nanocrystalline CuNiCoZnAlTi High-Entropy Alloys by Mechanical Alloying
 Cu8.33NiCoZnAlTi ,,,FCC + BCC,,,,,,,,,,,,,,MA,Formation and Stability of Equiatomic and Nonequiatomic Nanocrystalline CuNiCoZnAlTi High-Entropy Alloys by Mechanical Alloying
 Cu33.33NiCoZnAlTi ,,,FCC,,,,,,,,,,,,,,MA,Formation and Stability of Equiatomic and Nonequiatomic Nanocrystalline CuNiCoZnAlTi High-Entropy Alloys by Mechanical Alloying
 Cu49.98NiCoZnAlTi ,,,FCC,,,,,,,,,,,,,,MA,Formation and Stability of Equiatomic and Nonequiatomic Nanocrystalline CuNiCoZnAlTi High-Entropy Alloys by Mechanical Alloying
CuNi,,,FCC,,,,,,,,,,,,,,MA,Formation and Stability of Equiatomic and Nonequiatomic Nanocrystalline CuNiCoZnAlTi High-Entropy Alloys by Mechanical Alloying
CuNiCo,,,FCC,,,,,,,,,,,,,,MA,Formation and Stability of Equiatomic and Nonequiatomic Nanocrystalline CuNiCoZnAlTi High-Entropy Alloys by Mechanical Alloying
CuNiCoZn,,,FCC,,,,,,,,,,,,,,MA,Formation and Stability of Equiatomic and Nonequiatomic Nanocrystalline CuNiCoZnAlTi High-Entropy Alloys by Mechanical Alloying
CuNiCoZnAl,,,FCC,,,,,,,,,,,,,,MA,Formation and Stability of Equiatomic and Nonequiatomic Nanocrystalline CuNiCoZnAlTi High-Entropy Alloys by Mechanical Alloying
CuNiCoZnAlTi,,,FCC + BCC,,,,,,,,,2760,,,896.3305512,,MA,Formation and Stability of Equiatomic and Nonequiatomic Nanocrystalline CuNiCoZnAlTi High-Entropy Alloys by Mechanical Alloying
CuCoNiCrAlFeTiV ,,,,,,,,,,,,,,,571.0410793,,MA,Formation and Stability of Equiatomic and Nonequiatomic Nanocrystalline CuNiCoZnAlTi High-Entropy Alloys by Mechanical Alloying
CuCONiCrFe,,,,,,,,,,,,,,,135.6222563,,MA,Formation and Stability of Equiatomic and Nonequiatomic Nanocrystalline CuNiCoZnAlTi High-Entropy Alloys by Mechanical Alloying
CuCoNiCrAl0.5Fe,,,,,,,,,,,,,,,212.1009723,,MA,Formation and Stability of Equiatomic and Nonequiatomic Nanocrystalline CuNiCoZnAlTi High-Entropy Alloys by Mechanical Alloying
Cu0.5CoNiCrAl,,,,,,,,,,,,,,,454.793431,,MA,Formation and Stability of Equiatomic and Nonequiatomic Nanocrystalline CuNiCoZnAlTi High-Entropy Alloys by Mechanical Alloying
AlCo0.5CrCuFe1.5Ni1.2,,,,,,,,,,,,,,,,,,Thermal stability of AlCoCrCuFeNi high entropy alloy thinfilms studied by in-situXRD analysis
AlCo0.5CrCuFe0.5Ni0.12B0.1C0.15,,,,,,,,,,,,,,,,,,Thermal stability of AlCoCrCuFeNi high entropy alloy thinfilms studied by in-situXRD analysis
AlCoCrCuFeNi,,,,,,,,,,,,,,,,,,Thermal stability of AlCoCrCuFeNi high entropy alloy thinfilms studied by in-situXRD analysis
AlCo0.5CrFeMo0.5Ni,,,BCC + σ,25,,,,,,,,,,,786,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo1.0CrFeMo0.5Ni,,,BCC + σ,25,,,,,,,,,,,773,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo1.5CrFeMo0.5Ni,,,BCC + σ,25,,,,,,,,,,,711,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo2.0CrFeMo0.5Ni,,,FCC + BCC + σ,25,,,,,,,,,,,594,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo0.5CrFeMo0.5Ni,,,,24.15,,,,,,,,,,,7.37E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo0.5CrFeMo0.5Ni,,,,301.07,,,,,,,,,,,6.75E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo0.5CrFeMo0.5Ni,,,,400.86,,,,,,,,,,,6.51E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo0.5CrFeMo0.5Ni,,,,503.15,,,,,,,,,,,6.47E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo0.5CrFeMo0.5Ni,,,,607.93,,,,,,,,,,,6.03E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo0.5CrFeMo0.5Ni,,,,702.73,,,,,,,,,,,6.09E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo0.5CrFeMo0.5Ni,,,,800.03,,,,,,,,,,,5.30E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo0.5CrFeMo0.5Ni,,,,"1,004.60",,,,,,,,,,,3.52E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo1.0CrFeMo0.5Ni,,,,26.64,,,,,,,,,,,7.35E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo1.0CrFeMo0.5Ni,,,,298.58,,,,,,,,,,,6.66E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo1.0CrFeMo0.5Ni,,,,400.86,,,,,,,,,,,6.53E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo1.0CrFeMo0.5Ni,,,,498.16,,,,,,,,,,,6.39E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo1.0CrFeMo0.5Ni,,,,600.45,,,,,,,,,,,6.12E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo1.0CrFeMo0.5Ni,,,,700.24,,,,,,,,,,,5.93E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo1.0CrFeMo0.5Ni,,,,800.03,,,,,,,,,,,5.28E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo1.0CrFeMo0.5Ni,,,,899.82,,,,,,,,,,,4.46E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo1.0CrFeMo0.5Ni,,,,"1,002.11",,,,,,,,,,,3.47E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo1.5CrFeMo0.5Ni,,,,26.64,,,,,,,,,,,6.77E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo1.5CrFeMo0.5Ni,,,,301.07,,,,,,,,,,,6.22E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo1.5CrFeMo0.5Ni,,,,398.37,,,,,,,,,,,5.84E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo1.5CrFeMo0.5Ni,,,,500.65,,,,,,,,,,,5.88E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo1.5CrFeMo0.5Ni,,,,602.94,,,,,,,,,,,5.63E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo1.5CrFeMo0.5Ni,,,,702.73,,,,,,,,,,,5.49E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo1.5CrFeMo0.5Ni,,,,797.54,,,,,,,,,,,4.42E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo1.5CrFeMo0.5Ni,,,,902.32,,,,,,,,,,,3.39E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo1.5CrFeMo0.5Ni,,,,"1,004.60",,,,,,,,,,,2.43E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo2.0CrFeMo0.5Ni,,,,24.15,,,,,,,,,,,5.26E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo2.0CrFeMo0.5Ni,,,,301.07,,,,,,,,,,,4.67E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo2.0CrFeMo0.5Ni,,,,400.86,,,,,,,,,,,4.54E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo2.0CrFeMo0.5Ni,,,,500.65,,,,,,,,,,,4.50E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo2.0CrFeMo0.5Ni,,,,600.45,,,,,,,,,,,4.21E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo2.0CrFeMo0.5Ni,,,,702.73,,,,,,,,,,,4.02E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo2.0CrFeMo0.5Ni,,,,802.53,,,,,,,,,,,3.52E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo2.0CrFeMo0.5Ni,,,,899.82,,,,,,,,,,,2.66E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
AlCo2.0CrFeMo0.5Ni,,,,"1,002.11",,,,,,,,,,,1.67E + 02,,,Microstructure and Mechanical Properties of NewAlCoxCrFeMo0.5Ni High-Entropy Alloys
CuNiCoZnAlTi,,,,,,,,,,,,,,,,,,Processing and properties of nanocrystalline CuNiCoZnAlTi high entropy alloysby mechanical alloying
Al0.3CoCrFeNi,,,FCC,,,,,,,,,,,,,,,The effect of molybdenum on the corrosion behaviour of the high-entropyalloys Co1.5CrFeNi1.5Ti0.5Moxin aqueous environments
Al0.3CoCrFeNiMo0.1,,,FCC,,,,,,,,,,,,,,,The effect of molybdenum on the corrosion behaviour of the high-entropyalloys Co1.5CrFeNi1.5Ti0.5Moxin aqueous environments
Al0.3CoCrFeNiTi0.1,,,FCC,,,,,,,,,,,,时效强化700摄氏度,,,The effect of molybdenum on the corrosion behaviour of the high-entropyalloys Co1.5CrFeNi1.5Ti0.5Moxin aqueous environments
Al0.3CoCrFeNiC0.1,,,,,,,,,,,,,,,,,,The effect of molybdenum on the corrosion behaviour of the high-entropyalloys Co1.5CrFeNi1.5Ti0.5Moxin aqueous environments
Co1.5CrFeNi1.5Ti0.5Mo0,,,,,,,,,,,,,,,,,,he effect of molybdenum on the corrosion behaviour of the high-entropyalloys Co1.5CrFeNi1.5Ti0.5Moxin aqueous environments
Co1.5CrFeNi1.5Ti0.5Mo0.1,,,,,,,,,,,,,,,,,,he effect of molybdenum on the corrosion behaviour of the high-entropyalloys Co1.5CrFeNi1.5Ti0.5Moxin aqueous environments
Co1.5CrFeNi1.5Ti0.5Mo0.5,,,,,,,,,,,,,,,,,,he effect of molybdenum on the corrosion behaviour of the high-entropyalloys Co1.5CrFeNi1.5Ti0.5Moxin aqueous environments
Co1.5CrFeNi1.5Ti0.5Mo0.8,,,,,,,,,,,,,,,,,,he effect of molybdenum on the corrosion behaviour of the high-entropyalloys Co1.5CrFeNi1.5Ti0.5Moxin aqueous environments
CoCrFeNiAl0.3,as-cast,,FCC,,,,,,,,,,,,,,,Formation of ordered/disordered nanoparticles in FCC high entropy alloys
CoCrFeNiTi0.3,as-cast,,FCC,,,,,,,,,,,,,,,Formation of ordered/disordered nanoparticles in FCC high entropy alloys
CoCrFeNiMo0.3,as-cast,,FCC,,,,,,,,,,,,,,,Formation of ordered/disordered nanoparticles in FCC high entropy alloys
CoCrFeNiAl0.3Mo0.1,as-cast,,FCC,,,,,,,,,,,,,,,Formation of ordered/disordered nanoparticles in FCC high entropy alloys
CoCrCuFeNi,as-cast,,FCC,,,,,,,,,,,,,,,Formation of ordered/disordered nanoparticles in FCC high entropy alloys
AlCoCrCuFeNi,,,FCC + BCC,,,,,,,,,,,,,,,Formation of ordered/disordered nanoparticles in FCC high entropy alloys
FeCoCrNi,,,FCC,,,,,,,,,,,,,,,Formation of ordered/disordered nanoparticles in FCC high entropy alloys
FeCoCrNiPd,,,FCC,,,,,,,,,,,,,,,Magnetic and vibrational properties of high-entropy alloys
FeCoCrNiPd2,,,FCC,,,,,,,,,,,,,,,Magnetic and vibrational properties of high-entropy alloys
FeCoCrNiAl2,,,BCC,,,,,,,,,,,,,,,Magnetic and vibrational properties of high-entropy alloys
FeCoCrNiAlCu,,,FCC + BCC,,,,,,,,,,,,,,,Magnetic and vibrational properties of high-entropy alloys
AlCoCrFeNi,,,BCC,-196.15,-196.15,1880,,,,3550,14.3,,,,,,,Microstructural characteristics and mechanical behaviors of AlCoCrFeNi high-entropy alloys at ambient and cryogenic temperatures
AlCoCrFeNi,,,BCC,24.85,24.85,1450,,,,2960,15.5,,,,,,,Microstructural characteristics and mechanical behaviors of AlCoCrFeNi high-entropy alloys at ambient and cryogenic temperatures
 Nb25Mo25Ta25W25,,,BCC,,,,,,,,,,,,454.793431,,arc melt,Mechanical properties of Nb25Mo25Ta25W25and V20Nb20Mo20Ta20W20refractory high entropy alloys
V20Nb20Mo20Ta20W20,,,BCC,,,,,,,,,,,,552.6861874,,arc melt,Mechanical properties of Nb25Mo25Ta25W25and V20Nb20Mo20Ta20W20refractory high entropy alloys
 Nb25Mo25Ta25W25,,,BCC,23,,1058,,1211,1.5,,,,,,,,,Mechanical properties of Nb25Mo25Ta25W25and V20Nb20Mo20Ta20W20refractory high entropy alloys
 Nb25Mo25Ta25W25,,,BCC,600,,561,,,,,,,,,,,,Mechanical properties of Nb25Mo25Ta25W25and V20Nb20Mo20Ta20W20refractory high entropy alloys
 Nb25Mo25Ta25W25,,,BCC,800,,552,,,,,,,,,,,,Mechanical properties of Nb25Mo25Ta25W25and V20Nb20Mo20Ta20W20refractory high entropy alloys
 Nb25Mo25Ta25W25,,,BCC,1000,,548,,1008,16,,,,,,,,,Mechanical properties of Nb25Mo25Ta25W25and V20Nb20Mo20Ta20W20refractory high entropy alloys
 Nb25Mo25Ta25W25,,,BCC,1200,,506,,803,12,,,,,,,,,Mechanical properties of Nb25Mo25Ta25W25and V20Nb20Mo20Ta20W20refractory high entropy alloys
 Nb25Mo25Ta25W25,,,BCC,1400,,421,,467,9,,,,,,,,,Mechanical properties of Nb25Mo25Ta25W25and V20Nb20Mo20Ta20W20refractory high entropy alloys
 Nb25Mo25Ta25W25,,,BCC,1600,,405,,600,27,,,,,,,,,Mechanical properties of Nb25Mo25Ta25W25and V20Nb20Mo20Ta20W20refractory high entropy alloys
V20Nb20Mo20Ta20W20,,,BCC,23,,1246,,1270,0.5,1087,1.7,,,,,,,Mechanical properties of Nb25Mo25Ta25W25and V20Nb20Mo20Ta20W20refractory high entropy alloys
V20Nb20Mo20Ta20W20,,,BCC,600,,862,,1597,13,1597,13,,,,,,,Mechanical properties of Nb25Mo25Ta25W25and V20Nb20Mo20Ta20W20refractory high entropy alloys
V20Nb20Mo20Ta20W20,,,BCC,800,,846,,1536,16,1509,17,,,,,,,Mechanical properties of Nb25Mo25Ta25W25and V20Nb20Mo20Ta20W20refractory high entropy alloys
V20Nb20Mo20Ta20W20,,,BCC,1000,,842,,1454,14,1370,19,,,,,,,Mechanical properties of Nb25Mo25Ta25W25and V20Nb20Mo20Ta20W20refractory high entropy alloys
V20Nb20Mo20Ta20W20,,,BCC,1200,,735,,943,4.2,802,7.5,,,,,,,Mechanical properties of Nb25Mo25Ta25W25and V20Nb20Mo20Ta20W20refractory high entropy alloys
V20Nb20Mo20Ta20W20,,,BCC,1400,,656,,707,1.6,,,,,,,,,Mechanical properties of Nb25Mo25Ta25W25and V20Nb20Mo20Ta20W20refractory high entropy alloys
V20Nb20Mo20Ta20W20,,,BCC,1600,,477,,479,0.95,,,,,,,,,Mechanical properties of Nb25Mo25Ta25W25and V20Nb20Mo20Ta20W20refractory high entropy alloys
Al0.5CoCrFeNi ,as-cast,,FCC,,,,,,,,,,,,247,,,"Evolution of microstructure, hardness, and corrosion properties of high-entropyAl0.5CoCrFeNi alloy"
Fe6NiCoSiCrAlTi ,,,BCC,,,,,,,,,,,,,,laser cladding ,Microstructure and properties of 6FeNiCoSiCrAlTi high-entropy alloy coatingprepared by laser cladding
TaNbHfZrTi ,,9.94,BCC,23,,929,0.2,,,,,,,,390.1434231,,arc melting,Microstructure and room temperature properties of a high-entropyTaNbHfZrTi alloy
TaNbWMoV,,,,23,,1246,0.2,,,,,,,,,,,Microstructure and room temperature properties of a high-entropyTaNbHfZrTi alloy
TaNbWMo,,,,23,,1058,0.2,,,,,,,,,,,Microstructure and room temperature properties of a high-entropyTaNbHfZrTi alloy
Co1.5CrFeNi1.5Ti0.5,,,,,,,,,,,,,,,509,198.795,,Microstructure and wear behavior of AlxCo1.5CrFeNi1.5Tiy high-entropy alloys
Al0.2Co1.5CrFeNi1.5Ti0.5,,,,,,,,,,,,,,,487,234.94,,Microstructure and wear behavior of AlxCo1.5CrFeNi1.5Tiy high-entropy alloys
Co1.5CrFeNi1.5Ti,,,,,,,,,,,,,,,654,2692.77,,Microstructure and wear behavior of AlxCo1.5CrFeNi1.5Tiy high-entropy alloys
Al0.2Co1.5CrFeNi1.5Ti,,,,,,,,,,,,,,,717,5439.76,,Microstructure and wear behavior of AlxCo1.5CrFeNi1.5Tiy high-entropy alloys
AlCoCr0FeMo0.5Ni,as-cast,,B2 + σ,RT,,,,,,,,,,,601,,,On the superior hot hardness and softening resistance of AlCoCr x FeMo 0.5 Ni high-entropy alloys
AlCoCr0.5FeMo0.5Ni,as-cast,,B2 + σ,RT,,,,,,,,,,,610.105,,,On the superior hot hardness and softening resistance of AlCoCr x FeMo 0.5 Ni high-entropy alloys
AlCoCr1.0FeMo0.5Ni,as-cast,,B2 + σ,RT,,,,,,,,,,,727.178,,,On the superior hot hardness and softening resistance of AlCoCr x FeMo 0.5 Ni high-entropy alloys
AlCoCr1.5FeMo0.5Ni,as-cast,,B2 + σ,RT,,,,,,,,,,,813.589,,,On the superior hot hardness and softening resistance of AlCoCr x FeMo 0.5 Ni high-entropy alloys
AlCoCr2.0FeMo0.5Ni,as-cast,,B2 + σ,RT,,,,,,,,,,,867,,,On the superior hot hardness and softening resistance of AlCoCr x FeMo 0.5 Ni high-entropy alloys
TiZrNbMo,,,BCC,,,,,,,,,,,,,,,Alloy Design and Properties Optimization of High-Entropy Alloys
TiZrNbMoV0.25,,,BCC,,,,,,,,,,,,,,,Alloy Design and Properties Optimization of High-Entropy Alloys
TiZrNbMoV0.5,,,BCC,,,,,,,,,,,,,,,Alloy Design and Properties Optimization of High-Entropy Alloys
TiZrNbMoV0.75,,,BCC,,,,,,,,,,,,,,,Alloy Design and Properties Optimization of High-Entropy Alloys
TiZrNbMoV1,,,BCC,,,,,,,,,,,,,,,Alloy Design and Properties Optimization of High-Entropy Alloys
TiZrNbMoV1.5,,,BCC,,,,,,,,,,,,,,,Alloy Design and Properties Optimization of High-Entropy Alloys
TiZrNbMoV2,,,BCC,,,,,,,,,,,,,,,Alloy Design and Properties Optimization of High-Entropy Alloys
TiZrNbMoV3,,,BCC,,,,,,,,,,,,,,,Alloy Design and Properties Optimization of High-Entropy Alloys
CoCrFeNiAl,,,BCC,,,,,,,,,,,,,,,Alloy Design and Properties Optimization of High-Entropy Alloys
CoCrFeNiAlNb0.1,,,BCC,,,,,,,,,,,,,,,Alloy Design and Properties Optimization of High-Entropy Alloys
CoCrFeNiAlNb0.25,,,BCC + Laves,,,,,,,,,,,,,,,Alloy Design and Properties Optimization of High-Entropy Alloys
CoCrFeNiAlNb0.5,,,BCC + Laves,,,,,,,,,,,,,,,Alloy Design and Properties Optimization of High-Entropy Alloys
CoCrFeNiAlNb0.75,,,BCC + Laves,,,,,,,,,,,,,,,Alloy Design and Properties Optimization of High-Entropy Alloys
Co-Cr-Fe-Mn-Ni,,,FCC,,,,,,,,,,,,,,,On the diffusion in high-entropy alloys
Al-Co-Cr-Cu-Fe,,,FCC + BCC,,,,,,,,,,,,770,,MA,Alloyingbehaviorinmulti-componentAlCoCrCuFeandNiCoCrCuFehighentropyalloys
Ni-Co-Cr-Cu-Fe,,,FCC + BCC,,,,,,,,,,,,400,,MA,Alloyingbehaviorinmulti-componentAlCoCrCuFeandNiCoCrCuFehighentropyalloys
Ni-Co-Cr-Fe,,,FCC + BCC,,,,,,,,,,,,490,,MA,Alloyingbehaviorinmulti-componentAlCoCrCuFeandNiCoCrCuFehighentropyalloys
Ni-Co-Cu-Fe,,,FCC,,,,,,,,,,,,160,,MA,Alloyingbehaviorinmulti-componentAlCoCrCuFeandNiCoCrCuFehighentropyalloys
Ni-Co-Fe,,,FCC,,,,,,,,,,,,230,,MA,Alloyingbehaviorinmulti-componentAlCoCrCuFeandNiCoCrCuFehighentropyalloys
CoCrFeNiAl,,,BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCu,,,FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAl0 3,,,FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAl0.5,,,FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAl0.8,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAl,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAl1,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAl1.5,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAl1.8,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAh,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAl2.3,,,BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAl2.5,,,BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAl2.8,,,BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAl3,,,BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAlSi,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
MnCrFeNiCuAl,,,BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiMnGe,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
