Alloy,State,Density,Structure,T,E,Yield_Strength,Yield,Peak_Stress,Peak_strain,Fracture_Strength,Fracture_Strain,Compression_Yield_Strength,Compression_Strain,Strain,Vickers_hardness ,Wear_Resistance,fafabrication,题录
CoCrFeMnNi,,,,,,,,,,,,,,,,,,"Alloying, thermal stability and strengthening in spark plasma sintered AlxCoCrCuFeNi high entropy alloys"
Fe-Co-Ni-Cr-Cu-Al-Mn,,null,FCC + BCC or FCC,null,,null,,,,,null,null,,null,428.2808095,,reactive DCmagnetron sputtering,Nanostructured nitride films of multi-element high-entropy alloysby reactive DC sputtering
Fe-Co-Ni-Cr-Cu-Al0.5,,null,FCC + BCC or FCC,null,,null,,,,,null,null,,null,448.6751337,,reactive DCmagnetron sputtering,
 CuCoNiCrFe,,,FCC,,,,,,,,,,,,132,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
 CuCoNiCrAl0.3Fe,,,FCC,,,,,,,,,,,,182,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
 CuCoNiCrAl0.5Fe,,,FCC,,114,,,,,,,,,,205,0.924654,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
 CuCoNiCrAl0.8Fe,,,FCC + BCC,,145,,,,,,,,,,270,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
 CuCoNiCrAl1.0Fe,,,FCC + BCC,,163,,,,,,,,,,410,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
 CuCoNiCrAl1.3Fe,,,FCC + BCC,,,,,,,,,,,,470,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
 CuCoNiCrAl1.5Fe,,,FCC + BCC,,,,,,,,,,,,510,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
 CuCoNiCrAl1.8Fe,,,FCC + BCC,,,,,,,,,,,,560,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
 CuCoNiCrAl2.0Fe,,,FCC + BCC,,,,,,,,,,,,570,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
 CuCoNiCrAl2.3Fe,,,FCC + BCC,,,,,,,,,,,,610,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
 CuCoNiCrAl2.5Fe,,,FCC + BCC,,,,,,,,,,,,630,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
 CuCoNiCrAl2.8Fe,,,BCC,,,,,,,,,,,,660,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
 CuCoNiCrAl3.0Fe,,,BCC,,,,,,,,,,,,650,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
CuTiVFeNiZr,as-cast,,,,,,,,,,,,,,590,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
CuTiVFeNiZr,annealed,,,,,,,,,,,,,,600,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
AlTiVFeNiZr,as-cast,,,,,,,,,,,,,,800,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
AlTiVFeNiZr,annealed,,,,,,,,,,,,,,790,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
MoTiVFeNiZr,as-cast,,,,,,,,,,,,,,740,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
MoTiVFeNiZr,annealed,,,,,,,,,,,,,,760,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
CuTiVFeNiZrCo,as-cast,,,,,,,,,,,,,,630,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
CuTiVFeNiZrCo,annealed,,,,,,,,,,,,,,620,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
AlTiVFeNiZrCo,as-cast,,,,,,,,,,,,,,790,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
AlTiVFeNiZrCo,annealed,,,,,,,,,,,,,,800,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
MoTiVFeNiZrCo,as-cast,,,,,,,,,,,,,,790,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
