"","1"
"Y.to.1layhid4",-0.492877353553475
"Zr.to.1layhid4",0.745096680285044
"Nb.to.1layhid4",1.458499486691
"Mo.to.1layhid4",2.66065419671492
"Pd.to.1layhid4",-1.09711376840582
"Sn.to.1layhid4",-0.117319560250177
"Ce.to.1layhid4",1.2014984009197
"Gd.to.1layhid4",-0.469729580566301
"Tb.to.1layhid4",-0.0524694849389963
"Dy.to.1layhid4",-0.0861072982370895
"Ho.to.1layhid4",-0.887679017906431
"Tm.to.1layhid4",-0.444684004884738
"Lu.to.1layhid4",-0.0294448790882381
"Hf.to.1layhid4",2.559132125681
"Ta.to.1layhid4",4.68368423576002
"W.to.1layhid4",-3.57039093423159
"Au.to.1layhid4",117.166830967397
"Intercept.to.1layhid5",0.466919660108757
"Li.to.1layhid5",-1.05636841317091
"Be.to.1layhid5",-0.0406984751512149
"B.to.1layhid5",-118.819944822345
"C.to.1layhid5",58.8355695492362
"O.to.1layhid5",57.3947542986265
"Mg.to.1layhid5",-0.467845324672254
"Al.to.1layhid5",-7.53399544135909
"Si.to.1layhid5",-0.00776203377732663
"Sc.to.1layhid5",-0.80028217795166
"Ti.to.1layhid5",-3.11966289155842
"V.to.1layhid5",1.40921246562054
"Cr.to.1layhid5",-7.4306226154341
"Mn.to.1layhid5",-0.582538743933608
"Fe.to.1layhid5",-0.0359103089789304
"Co.to.1layhid5",3.16550252017871
"Ni.to.1layhid5",0.458039822888176
"Cu.to.1layhid5",2.53888281370004
"Zn.to.1layhid5",-112.761092511107
"Ge.to.1layhid5",0.454650297580283
"Y.to.1layhid5",0.0848980586784873
"Zr.to.1layhid5",0.1310299424233
"Nb.to.1layhid5",55.5345851314257
"Mo.to.1layhid5",18.0757647880465
"Pd.to.1layhid5",-1.74505586133669
"Sn.to.1layhid5",1.68945892131337
"Ce.to.1layhid5",0.864777978518578
"Gd.to.1layhid5",-0.150775988885748
"Tb.to.1layhid5",-1.44900713013917
"Dy.to.1layhid5",0.643008700041982
"Ho.to.1layhid5",0.483193863814768
"Tm.to.1layhid5",-0.00635562642138871
"Lu.to.1layhid5",0.151455892862424
"Hf.to.1layhid5",2.74150920582837
"Ta.to.1layhid5",2.50272779609669
"W.to.1layhid5",-7.20675257661834
"Au.to.1layhid5",116.989140626655
"Intercept.to.1layhid6",-1.12748934646557
"Li.to.1layhid6",0.700748818440034
"Be.to.1layhid6",0.554196622274034
"B.to.1layhid6",116.763693407196
"C.to.1layhid6",-57.5945881620068
"O.to.1layhid6",-55.7950414194129
"Mg.to.1layhid6",-0.34508797797289
"Al.to.1layhid6",2.54347703663255
"Si.to.1layhid6",-1.29400246548455
"Sc.to.1layhid6",-0.959170444380363
"Ti.to.1layhid6",-10.4893951684107
"V.to.1layhid6",0.945763917241659
"Cr.to.1layhid6",0.53401178226497
"Mn.to.1layhid6",1.80679178358046
"Fe.to.1layhid6",2.06826318578599
"Co.to.1layhid6",0.805924738459074
"Ni.to.1layhid6",0.758471221844248
"Cu.to.1layhid6",2.11882754777855
"Zn.to.1layhid6",119.659539242297
"Ge.to.1layhid6",-1.37686159824052
"Y.to.1layhid6",-1.15085556562711
"Zr.to.1layhid6",1.8527354580165
"Nb.to.1layhid6",2.54686490171243
"Mo.to.1layhid6",-3.68075582788975
"Pd.to.1layhid6",-0.185377967676503
"Sn.to.1layhid6",-1.20122205073999
"Ce.to.1layhid6",2.03697216698315
"Gd.to.1layhid6",0.107774744885547
"Tb.to.1layhid6",-0.0841081005055806
